motor_control,world_x,world_y,world_z,world_p,world_q,world_r,x_img,y_img,x_screen,y_screen
"0:90.0,1:150.0,2:10.0,3:30.0,4:10.0,5:10.0",0.10784400522376364,0.0009652767637374701,0.04145904286206467,0.0029106105128089243,1.3967321245152735,-0.002955267189636516,318,360,-0.006249999999999978,-0.5
"0:90.0,1:150.0,2:10.0,3:60.0,4:10.0,5:10.0",0.11900520208496361,0.0009595643306914321,0.05551199394717114,0.0006103456455168023,0.8729809382372038,-0.0007965382097333273,318,354,-0.006249999999999978,-0.4750000000000001
"0:90.0,1:150.0,2:10.0,3:90.0,4:10.0,5:10.0",0.12164255697023929,0.0009582145011518897,0.07325741512039252,0.00018647656778557497,0.3493975488807343,-0.0005447245657034243,319,354,-0.0031250000000000444,-0.4750000000000001
"0:90.0,1:150.0,2:10.0,3:120.0,4:10.0,5:10.0",0.11505412220243744,0.0009615865402733854,0.08994417435542129,-9.00630211676061e-05,-0.17418571384512035,-0.0005196755644801762,318,362,-0.006249999999999978,-0.5083333333333333
"0:90.0,1:150.0,2:10.0,3:150.0,4:10.0,5:10.0",0.1010051640909897,0.0009687769638044054,0.10110133088904899,-0.00042914488916117146,-0.6977689604055519,-0.0006679196546969589,318,375,-0.006249999999999978,-0.5625
"0:90.0,1:150.0,2:30.0,3:10.0,4:10.0,5:10.0",0.11537464144650719,0.0009614224947202127,0.08404138063023858,0.002910610512808517,1.3967321245152742,-0.0029552671896360292,318,361,-0.006249999999999978,-0.5041666666666667
"0:90.0,1:150.0,2:30.0,3:30.0,4:10.0,5:10.0",0.12362827073395988,0.0009571981892737211,0.09273853940701918,0.0008902664275441173,1.0490390863397043,-0.001026900963013092,318,356,-0.006249999999999978,-0.4833333333333334
"0:90.0,1:150.0,2:30.0,3:60.0,4:10.0,5:10.0",0.1293333283078259,0.0009542782730826427,0.10975353549164128,0.0002966482386055692,0.5252874633201414,-0.0005915669995389508,318,354,-0.006249999999999978,-0.4750000000000001
"0:90.0,1:150.0,2:30.0,3:90.0,4:10.0,5:10.0",0.12576646510759243,0.0009561038360076711,0.1273357167785602,8.721493500848404e-07,0.0017040411839136609,-0.0005118125690804318,319,360,-0.0031250000000000444,-0.5
"0:90.0,1:150.0,2:30.0,3:120.0,4:10.0,5:10.0",0.11388659160323976,0.0009621840962880206,0.14077907894652486,-0.00029432243409715337,-0.5218792167680167,-0.0005904041267957846,319,372,-0.0031250000000000444,-0.55
"0:90.0,1:150.0,2:30.0,3:150.0,4:10.0,5:10.0",0.09687672721505769,0.0009708899467998564,0.14648169723456536,-0.0008829426341646632,-1.0454623994701002,-0.0010205581671668092,318,388,-0.006249999999999978,-0.6166666666666667
"0:90.0,1:150.0,2:60.0,3:10.0,4:10.0,5:10.0",0.10985399822609808,0.0009642480254460281,0.16063082667341388,0.0006103456455169324,0.8729809382372035,-0.0007965382097330816,318,380,-0.006249999999999978,-0.5833333333333333
"0:90.0,1:150.0,2:60.0,3:30.0,4:10.0,5:10.0",0.11265148822621679,0.0009628162368544926,0.17229003044971014,0.00029664823860604806,0.525287463320141,-0.0005915669995390219,318,380,-0.006249999999999978,-0.5833333333333333
"0:90.0,1:150.0,2:60.0,3:60.0,4:10.0,5:10.0",0.10908202518501955,0.0009646431304090546,0.18987743254515138,7.860229166158856e-07,0.0015357641030487596,-0.0005118124295640765,318,388,-0.006249999999999978,-0.6166666666666667
"0:90.0,1:150.0,2:60.0,3:90.0,4:10.0,5:10.0",0.09719988489094027,0.0009707245508592047,0.20331879855743168,-0.00029443716474051283,-0.5220476581746697,-0.0005904613295545322,318,401,-0.006249999999999978,-0.6708333333333334
"0:90.0,1:150.0,2:90.0,3:10.0,4:10.0,5:10.0",0.0667874092732518,0.0009862900168947156,0.22417599009684452,0.00018647656778575622,0.34939754888073415,-0.0005447245657031742,318,437,-0.006249999999999978,-0.8208333333333333
"0:90.0,1:150.0,2:90.0,3:30.0,4:10.0,5:10.0",0.06338068118786144,0.0009880336207678496,0.23567195398683827,8.721493497517489e-07,0.001704041183913504,-0.00051181256908045,318,445,-0.006249999999999978,-0.8541666666666667
"0:90.0,1:150.0,2:90.0,3:60.0,4:10.0,5:10.0",0.051495941052818295,0.0009941163718473998,0.24911854080764084,-0.0002944371647412222,-0.5220476581746697,-0.0005904613295546067,318,461,-0.006249999999999978,-0.9208333333333334
"0:90.0,1:170.0,2:10.0,3:10.0,4:10.0,5:10.0",0.10589365600014292,0.0009662749756204798,0.05812615206350269,0.0028904228869317803,1.395541066419018,-0.0029353867003167537,319,364,-0.0031250000000000444,-0.5166666666666666
"0:90.0,1:170.0,2:10.0,3:30.0,4:10.0,5:10.0",0.11413692057066602,0.0009620559749590613,0.06683313526484044,0.0008878174608807445,1.0478480237040084,-0.0010247785712292478,319,359,-0.0031250000000000444,-0.49583333333333335
"0:90.0,1:170.0,2:10.0,3:60.0,4:10.0,5:10.0",0.11982170816854464,0.000959146433182366,0.08385491436422708,0.0002958344101804992,0.5240964002660041,-0.0005911593150455039,318,358,-0.006249999999999978,-0.4916666666666667
"0:90.0,1:170.0,2:10.0,3:90.0,4:10.0,5:10.0",0.11623390601583368,0.0009609827129117982,0.10143283482055596,2.6254829235503516e-07,0.000512978077513399,-0.0005118118933319538,318,363,-0.006249999999999978,-0.5125
"0:90.0,1:170.0,2:10.0,3:120.0,4:10.0,5:10.0",0.10433802904914422,0.0009670711639540759,0.11486203777353117,-0.0002951341817099177,-0.5230702798226864,-0.0005908092102336471,318,375,-0.006249999999999978,-0.5625
"0:90.0,1:170.0,2:30.0,3:10.0,4:10.0,5:10.0",0.1066571072790557,0.0009658842321874812,0.10942442973970484,0.0008878174608804995,1.0478480237040078,-0.0010247785712294902,318,372,-0.006249999999999978,-0.55
"0:90.0,1:170.0,2:30.0,3:30.0,4:10.0,5:10.0",0.1114403713820039,0.0009634361008379055,0.12041912680584012,0.0004312284719036813,0.7001545853537563,-0.0006692602811117265,318,371,-0.006249999999999978,-0.5458333333333334
"0:90.0,1:170.0,2:30.0,3:60.0,4:10.0,5:10.0",0.11098515257625743,0.0009636690872244086,0.1383593207287428,9.123339918343868e-05,0.17640289743052423,-0.0005198796760832994,319,375,-0.0031250000000000444,-0.5625
"0:90.0,1:170.0,2:30.0,3:90.0,4:10.0,5:10.0",0.10162271151924364,0.0009684608956943147,0.15366292454354596,-0.000185192277651785,-0.34718052965758855,-0.0005442862500302778,318,385,-0.006249999999999978,-0.6041666666666667
"0:90.0,1:170.0,2:30.0,3:120.0,4:10.0,5:10.0",0.08586293531870273,0.0009765269362320868,0.1622352525165005,-0.0006076043335132116,-0.870763755053811,-0.0007944396385027362,318,402,-0.006249999999999978,-0.675
"0:90.0,1:170.0,2:60.0,3:10.0,4:10.0,5:10.0",0.07528697137779046,0.0009819398401191802,0.17951248200615577,0.00029583441018028457,0.5240964002660039,-0.0005911593150455612,318,416,-0.006249999999999978,-0.7333333333333334
"0:90.0,1:170.0,2:60.0,3:30.0,4:10.0,5:10.0",0.0739302290771136,0.0009826342369326745,0.19142559389580713,9.123339918287823e-05,0.17640289743052417,-0.0005198796760832638,318,420,-0.006249999999999978,-0.75
"0:90.0,1:170.0,2:60.0,3:60.0,4:10.0,5:10.0",0.06456356007531999,0.0009874282093150118,0.20673321523406252,-0.000185289685928186,-0.34734880673556606,-0.0005443194007000799,318,434,-0.006249999999999978,-0.8083333333333333
"0:90.0,1:170.0,2:60.0,3:90.0,4:10.0,5:10.0",0.048802336034130755,0.0009954949908747325,0.21530289240875325,-0.0006078120864699937,-0.8709321964366588,-0.0007945985436418214,318,451,-0.006249999999999978,-0.8791666666666667
"0:120.0,1:10.0,2:120.0,3:150.0,4:10.0,5:10.0",0.20061840410170748,0.09377454692004739,0.010846895874295104,0.08767877563590623,-0.15070308488374845,0.5296950046862967,253,289,-0.20937499999999998,-0.2041666666666666
"0:120.0,1:10.0,2:120.0,3:170.0,4:10.0,5:10.0",0.19305345652432276,0.08941223897969838,0.019122246883228198,0.2804666377397774,-0.44753871171972526,0.5872999283779986,255,295,-0.203125,-0.22916666666666674
"0:120.0,1:10.0,2:150.0,3:60.0,4:10.0,5:10.0",0.23618232188576013,0.11428239041165789,0.029423193839435702,-0.537263033550772,0.7258774991734428,0.7314004522803864,237,265,-0.259375,-0.10416666666666674
"0:120.0,1:10.0,2:150.0,3:90.0,4:10.0,5:10.0",0.23846703347480439,0.11559986358702659,0.047168615012657025,-0.1800358782781116,0.30108680605325633,0.5504536531536803,234,264,-0.26875000000000004,-0.10000000000000009
"0:120.0,1:10.0,2:150.0,3:120.0,4:10.0,5:10.0",0.23275954475127786,0.1123086546099103,0.06385537424768582,0.08767877563590597,-0.1507030848837484,0.5296950046862968,234,269,-0.26875000000000004,-0.12083333333333335
"0:120.0,1:10.0,2:150.0,3:150.0,4:10.0,5:10.0",0.2205890865431684,0.1052905905802748,0.07501253078131356,0.3966568464921129,-0.5902865354154707,0.6451189102988977,238,279,-0.25625,-0.1625000000000001
"0:120.0,1:10.0,2:150.0,3:170.0,4:10.0,5:10.0",0.21045326482169302,0.09944579454894109,0.0778130796772678,0.7126509766610191,-0.8480507724966163,0.8560031489795122,243,286,-0.24062499999999998,-0.19166666666666665
"0:120.0,1:10.0,2:170.0,3:30.0,4:10.0,5:10.0",0.24020705380627733,0.11660324192252544,0.06683304338859694,-0.7140161204936946,0.8488332997735476,0.857027350013483,231,263,-0.27812499999999996,-0.09583333333333344
"0:120.0,1:10.0,2:170.0,3:60.0,4:10.0,5:10.0",0.24513172290509128,0.11944303993745804,0.08385482248798345,-0.2810976007594073,0.44839281775797035,0.5875732192618138,227,260,-0.290625,-0.08333333333333326
"0:120.0,1:10.0,2:170.0,3:90.0,4:10.0,5:10.0",0.24202364928054676,0.11765077712097982,0.10143274294431236,-0.00025625481991010154,0.0004443872731486382,0.5230715786063309,226,263,-0.29374999999999996,-0.09583333333333344
"0:120.0,1:10.0,2:170.0,3:120.0,4:10.0,5:10.0",0.23171838163554387,0.1117082705252154,0.11486194589728754,0.28046663773977787,-0.44753871171972515,0.5872999283779988,229,272,-0.28437500000000004,-0.1333333333333333
